name,size,price,proof,type
SVEDKA VODKA 80,1.75 L (Large),15.99,80,Vodka
KETEL ONE VODKA 80,1.75 L (Large),29.99,80,Vodka
SKYY VODKA 80,1.75 L (Large),21.99,80,Vodka
TITOS VODKA 80,750 ML (Standard),20.99,80,Vodka
NEW AMSTERDAM VODKA 80,1.75 L (Large),19.99,80,Vodka
LUKSUSOWA VODKA 80,1.75 L (Large),23.99,80,Vodka
STOLICHNAYA VODKA 80,1.75 L (Large),29.99,80,Vodka
NEW AMSTERDAM PINK WHITNEY VDK 60,750 ML (Standard),15.49,60,Vodka
TITOS VODKA 80,1 L,26.99,80,Vodka
DEEP EDDY RUBY RED VDK 70,1.75 L (Large),22.99,70,Vodka
ABSOLUT VODKA 80,1.75 L (Large),28.99,80,Vodka
GREY GOOSE VODKA 80,750 ML (Standard),27.99,80,Vodka
KETEL ONE VODKA 80,750 ML (Standard),21.99,80,Vodka
GREY GOOSE VODKA 80,1 L,36.99,80,Vodka
GREY GOOSE VODKA 80,1.75 L (Large),46.99,80,Vodka
KETEL ONE PEACH ORNG VDK 60,750 ML (Standard),19.99,60,Vodka
NEW AMSTERDAM VODKA 80,750 ML (Standard),15.49,80,Vodka
SMIRNOFF FLV BLUEBERRY 70,1.75 L (Large),22.99,70,Vodka
DEEP EDDY SWEET TEA VDK 70,1.75 L (Large),22.99,70,Vodka
ABSOLUT CITRON VDK 80,1.75 L (Large),29.99,80,Vodka
REYKA VODKA 80,1.75 L (Large),35.99,80,Vodka
KETEL ONE CUC MINT VDK 60,750 ML (Standard),19.99,60,Vodka
SMIRNOFF VODKA 100,1.75 L (Large),41.99,100,Vodka
CIROC PINEAPPLE VDK 70,750 ML (Standard),35.99,70,Vodka
BELVEDERE VODKA 80,1.75 L (Large),48.99,80,Vodka
SMIRNOFF FLV RASPBERRY 70,1.75 L (Large),22.99,70,Vodka
DEEP EDDY VODKA 80,1.75 L (Large),22.99,80,Vodka
SMIRNOFF FLV KISSED CARAMEL 60,750 ML (Standard),14.99,60,Vodka
KETEL ONE GRAPE ROSE VDK 60,750 ML (Standard),19.99,60,Vodka
REYKA VODKA 80,750 ML (Standard),20.99,80,Vodka
SKYY VODKA 80,750 ML (Standard),13.49,80,Vodka
DEEP EDDY LEMON VDK 70,1.75 L (Large),22.99,70,Vodka
SMIRNOFF FLV STRAWBERRY 70,1.75 L (Large),22.99,70,Vodka
SMIRNOFF FLV VANILLA 70,1.75 L (Large),22.99,70,Vodka
SOBIESKI VODKA 80 - POLAND,1.75 L (Large),19.99,POLAND,Vodka
SVEDKA VODKA 80,750 ML (Standard),9.99,80,Vodka
RUSSIAN STND VODKA 80,1.75 L (Large),29.99,80,Vodka
SVEDKA VODKA 80,1 L,16.99,80,Vodka
GREY GOOSE WATER BASIL 60,750 ML (Standard),27.99,60,Vodka
CIROC VODKA 80,750 ML (Standard),35.99,80,Vodka
GREY GOOSE STRAW LEMON 60,750 ML (Standard),27.99,60,Vodka
SMIRNOFF FLV ORANGE 70,1.75 L (Large),22.99,70,Vodka
SMIRNOFF FLV WATERMELON 70,750 ML (Standard),14.99,70,Vodka
DEEP EDDY CRANBERRY VDK 70,1.75 L (Large),22.99,70,Vodka
SMIRNOFF FLV CHERRY 70,1.75 L (Large),22.99,70,Vodka
SMIRNOFF FLV PINK LEMONADE 60,750 ML (Standard),14.99,60,Vodka
GREY GOOSE PEACH ROSE 60,750 ML (Standard),27.99,60,Vodka
NEW AMSTERDAM PINEAPPLE VDK 70,1.75 L (Large),23.99,70,Vodka
CIROC PEACH VDK 70,750 ML (Standard),35.99,70,Vodka
ABSOLUT VANILLA VDK 80,750 ML (Standard),21.99,80,Vodka
SMIRNOFF FLV WHIPPED CREAM 60,750 ML (Standard),14.99,60,Vodka
CHOPIN SMALL BATCH VDK 80,1.75 L (Large),37.99,80,Vodka
SMIRNOFF FLV PINK LEMONADE 60,1.75 L (Large),22.99,60,Vodka
CIROC RED BERRY VDK 70,750 ML (Standard),35.99,70,Vodka
SMIRNOFF FLV CITRUS 70,1.75 L (Large),22.99,70,Vodka
SMIRNOFF FLV WATERMELON 70,1.75 L (Large),22.99,70,Vodka
BELVEDERE VODKA 80,1 L,44.99,80,Vodka
ABSOLUT CITRON VDK 80,750 ML (Standard),21.99,80,Vodka
KETEL ONE CITROEN VDK 80,1.75 L (Large),32.99,80,Vodka
SMIRNOFF FLV KISSED CARAMEL 60,1.75 L (Large),22.99,60,Vodka
SMIRNOFF FLV GRN APPLE 70,1.75 L (Large),22.99,70,Vodka
CIROC APPLE VDK 70,750 ML (Standard),35.99,70,Vodka
CIROC VODKA 80,1.75 L (Large),51.99,80,Vodka
SMIRNOFF FLV BLUEBERRY 70,750 ML (Standard),14.99,70,Vodka
SMIRNOFF FLV STRAWBERRY 70,750 ML (Standard),14.99,70,Vodka
CIROC MANGO VDK 70,750 ML (Standard),35.99,70,Vodka
NEW AMSTERDAM RED BERRY VDK 70,1.75 L (Large),23.99,70,Vodka
KETEL RTD SPRITZ CUC MINT 4 PK,4pk,14.49,PK,Vodka
NEW AMSTERDAM WATERMELON VDK 70,1.75 L (Large),23.99,70,Vodka
KETEL RTD SPRITZ GRAPE ROSE 4 PK,4pk,14.49,PK,Vodka
KETEL RTD SPRITZ PEACH ORNG 4 PK,4pk,14.49,PK,Vodka
SMIRNOFF FLV CHERRY 70,750 ML (Standard),14.99,70,Vodka
BURNETTS CHERRY VDK 70,1.75 L (Large),14.99,70,Vodka
SVEDKA BLUE RASPBERRY 70,1.75 L (Large),15.99,70,Vodka
DEEP EDDY CRANBERRY VDK 70,750 ML (Standard),17.99,70,Vodka
DEEP EDDY LEMON VDK 70,750 ML (Standard),17.99,70,Vodka
CHOPIN SMALL BATCH VDK 80,750 ML (Standard),24.99,80,Vodka
NEW AMSTERDAM PINEAPPLE VDK 70,750 ML (Standard),15.49,70,Vodka
SVEDKA STRAW LEMON 70,1.75 L (Large),15.99,70,Vodka
SMIRNOFF FLV PEACH 70,750 ML (Standard),14.99,70,Vodka
DEEP EDDY ORANGE VDK 70,1.75 L (Large),22.99,70,Vodka
ABSOLUT PEARS VDK 80,750 ML (Standard),21.99,80,Vodka
