,name,size,price,proof,type
104,TAP 8 MAPLE RYE 83,750 ML (Standard),$23.99 ,83,Whiskey
105,NIKKA FROM THE BRL 102.8,750 ML (Standard),$99.99 ,102.8,Whiskey
106,AKASHI UME PLUM WHISKEY 61,750 ML (Standard),$39.99 ,61,Whiskey
107,MISUNDERSTOOD GINGER WSKY 80,750 ML (Standard),$29.99 ,80,Whiskey
108,IWAI TRADITION SHINSHU MARS 80,750 ML (Standard),$66.99 ,80,Whiskey
109,NIKKA YOICHI SINGLE MALT 90,750 ML (Standard),$149.99 ,90,Whiskey
110,CABIN FEVER MAPLE WSKY 80,750 ML (Standard),$27.99 ,80,Whiskey
111,DEWARS US OPEN 19 YR 86,750 ML (Standard),$79.99 ,86,Whiskey
112,KEEPERS HEART WHISKEY 86,700 ML,$34.99 ,86,Whiskey
113,JACK DANIELS BONDED 100,750 ML (Standard),$44.99 ,100,Whiskey
114,YELLOW BIRD WHISKEY 90,750 ML (Standard),$31.99 ,90,Whiskey
115,CHICKEN COCK RYE 90,750 ML (Standard),$62.99 ,90,Whiskey
116,GRANDTEN S BOSTON WSKY 80,750 ML (Standard),$29.99 ,80,Whiskey
117,AKASHI WHITE OAK 80,750 ML (Standard),$51.99 ,80,Whiskey
118,WEST CORK IRISH BLACK CSK 86,750 ML (Standard),$34.99 ,86,Whiskey
119,BIRD DOG BLENDED WSKY 80,750 ML (Standard),$17.99 ,80,Whiskey
120,NOMAD WHISKY 82.6,750 ML (Standard),$46.99 ,82.6,Whiskey
121,MAD RIVER RYE 96,750 ML (Standard),$42.99 ,96,Whiskey
122,LONE ELM SMALL BATCH 90,750 ML (Standard),$52.99 ,90,Whiskey
123,NIKKA MIYAGIKYO SINGLE MALT 90,750 ML (Standard),$119.99 ,90,Whiskey
124,JACK DANIELS LEGACY #1 86,1 L,$42.99 ,86,Whiskey
125,BEARFACE 7 YR WSKY 85,750 ML (Standard),$29.99 ,85,Whiskey
126,VIRGINIA PORT CASK WHISKY 92,750 ML (Standard),$54.99 ,92,Whiskey
127,DADS HAT PENNSYLVANIA RYE 95,750 ML (Standard),$39.99 ,95,Whiskey
128,IWAI SHINSHU MARS 80,750 ML (Standard),$37.99 ,80,Whiskey
129,NIKKA COFFEY MALT WHISKY 90,750 ML (Standard),$92.99 ,90,Whiskey
130,SILKIE IRISH WHSKY 92,750 ML (Standard),$37.99 ,92,Whiskey
131,BLACK VELVET APPLE 70,1.75 L (Large),$19.99 ,70,Whiskey
132,NELSONS GREEN BRIER 91,750 ML (Standard),$25.99 ,91,Whiskey
133,TULLIBARDINE 12 YR 80,750 ML (Standard),$39.99 ,80,Whiskey
134,BLACK VELVET APPLE 70,750 ML (Standard),$10.99 ,70,Whiskey
135,HINCH IRISH WHISKEY 86,750 ML (Standard),$30.99 ,86,Whiskey
136,FUK JAPANESE WHISKY 80,750 ML (Standard),$55.99 ,80,Whiskey
137,GLENDALOUGH CSK BURGUNDY 84,750 ML (Standard),$36.99 ,84,Whiskey
138,GLENDALOUGH CSK CALVADOS 84,750 ML (Standard),$36.99 ,84,Whiskey
139,CARDINAL RYE 90,750 ML (Standard),$25.99 ,90,Whiskey
140,ST GEORGE BALLER 94,750 ML (Standard),$54.99 ,94,Whiskey
141,NIKKA TAKETSURU PURE MALT WHISKY 86,750 ML (Standard),$149.99 ,86,Whiskey
142,NIKKA COFFEY GRAIN WHISKY 90,750 ML (Standard),$99.99 ,90,Whiskey
143,VIRGINIA COURAGE AM WHISKY 92,750 ML (Standard),$64.99 ,92,Whiskey
144,OLD THOMPSON 80,750 ML (Standard),$10.99 ,80,Whiskey
145,DEADWOOD RYE 83,750 ML (Standard),$20.99 ,83,Whiskey
146,BULLY BOY AGED WHISKEY 84,750 ML (Standard),$39.99 ,84,Whiskey
147,KAIYO THE SINGLE 96,750 ML (Standard),$59.99 ,96,Whiskey
148,FUKANO SINGLE CSK 14 YR 85.8,750 ML (Standard),$144.99 ,85.8,Whiskey
149,SHORT PATH WHISKEY 80,750 ML (Standard),$41.99 ,80,Whiskey
150,YAME 10 YR WHISKY 84,750 ML (Standard),$69.99 ,84,Whiskey
151,PENDERYN PORTWOOD 92,750 ML (Standard),$89.99 ,92,Whiskey
152,HA'PENNY IRISH WSKY 86,750 ML (Standard),$34.99 ,86,Whiskey
